LATITUDE,LONGITUDE,PARAMETERNAME,YEAR,ARITHMETICMEAN,90THPERCENTILE,50THPERCENTILE,10THPERCENTILE,ADDRESS,STATENAME,COUNTYNAME,CITYNAME
43.170062,-77.636391,"1,3-Dichlorobenzene",1992,0.259565,0.42,0.18,0.12,"JEFFERSON SR.HIGH, EDGERTON PARK",New York,Monroe,Rochester
37.710229,-122.116899,Chloroform,1991,0.057083,0.05,0.0,0.0,"HOSPITAL-15400 FOOTHILL BLVD,SAN LEANDRO",California,Alameda,Castro Valley
37.339666,-121.888575,Benzene,1987,12.257143,22.8,12.0,6.0,"120B N 4TH ST, SAN JOSE",California,Santa Clara,San Jose
38.20087,-77.37742,Styrene,1995,1.136986,1.1,0.0,0.0,"U.S. GEODETIC SURVEY, OFF RT.2, CORBIN",Virginia,Caroline,
35.24894,-91.715596,Ambient Min Temperature,2000,15.605882,24.7,19.3,0.8,1901 EAST MARKET,Arkansas,White,Searcy
40.722046,-74.045141,Chromium (TSP) STP,1984,0.005589,0.0162,0.0,0.0,"ERIE &BAY STS., PUBLIC SAFETY BLDG.",New Jersey,Hudson,Jersey City
42.981682,-87.910084,Suspended particulate (TSP),1988,57.781818,103.0,49.0,29.0,"FRITSCHE JR HI SCH, 2969 S HOWELL AVE.",Wisconsin,Milwaukee,Milwaukee
31.555,-110.29,Suspended particulate (TSP),1984,0.0,0.0,0.0,0.0,"HWY 90 & FRY BLVD. SIERRA VISTA, ARIZONA",Arizona,Cochise,Sierra Vista (Garden Canon)
34.939786,-82.22961,Lead (TSP) STP,1980,0.250444,0.401,0.231,0.147,203 WEST POINSETT STREET [Greer],South Carolina,Greenville,Greer
45.852774,-106.583912,PM10 - LC,2000,7.698113,12.0,7.0,4.0,WECO #9-S TOWN AREA B-W HIWAY 39,Montana,Rosebud,Not in a city
42.888971,-72.553701,"1,3-Dichlorobenzene",1996,0.02,0.06,0.0,0.0,"1277 PUTNEY ROAD, RTE 5 BRATTLEBORO",Vermont,Windham,Brattleboro (Town of)
43.051971,-83.674956,Manganese (TSP) STP,1986,0.039616,0.0741,0.0364,0.0129,3420 ST JOHN ST,Michigan,Genesee,Flint
43.062567,-76.177981,Lead (TSP) STP,1987,0.0427,0.0899,0.0316,0.0178,"SEWAGE TREATMENT PLANT,HIAWATHA BOULEVAR",New York,Onondaga,Syracuse
41.965862,-88.785089,Suspended particulate (TSP),1982,41.779661,81.0,36.0,18.0,650 N. 1ST ST.,Illinois,DeKalb,DeKalb
32.385731,-90.1412,Lead (TSP) STP,1988,0.073,0.08,0.07,0.07,5810 Ridgewood Rd,Mississippi,Hinds,Jackson
30.097156,-94.095735,Lead (TSP) STP,1995,0.019434,0.02,0.02,0.01,200 CHRISWELL,Texas,Jefferson,Beaumont
42.79901,-73.9389,Sample Flow Rate- CV,1999,0.204651,0.5,0.2,0.0,"MT.PLEASANT HS, 1121 FOREST RD.",New York,Schenectady,Schenectady
21.30758,-157.85542,Chromium (TSP) STP,1982,0.00053,0.0,0.0,0.0,"1250 PUNCHBOWL ST, HONOLULU",Hawaii,Honolulu,Honolulu
32.631242,-117.059088,Methyl chloroform,1991,3.429333,7.0,2.2,1.16,"84 E. 'J' ST., CHULA VISTA",California,San Diego,Chula Vista
45.053953,-106.737901,PM10 - LC,1998,14.316667,33.0,10.0,4.0,DECKER COAL #7 DECKER MT,Montana,Big Horn,
43.608056,-72.982778,Ethylbenzene,1995,1.4,1.4,1.4,1.4,"96 STATE STREET, Rutland, Vermont",Vermont,Rutland,Rutland
41.834276,-87.623851,Average Ambient Pressure,2000,764.913043,770.0,766.0,756.0,3300 S MICHIGAN AVE,Illinois,Cook,Chicago
43.4983,-87.8102,o-Xylene,1999,0.15,0.3,0.0,0.0,485 County Hwy D,Wisconsin,Ozaukee,
45.363048,-106.468088,Sulfate (TSP) STP,1984,1.724074,2.7,1.6,0.4,BIRNEY COMMUNITY,Montana,Rosebud,Not in a city
40.671953,-73.977823,Sample Volume,1999,24.003333,24.1,24.0,24.0,"PS 321 180 7TH AV,",New York,Kings,New York
18.009558,-66.627249,Sample Min Baro Pressure,1999,759.929412,761.0,760.0,758.0,CIVIL DEFENSEBLDG. SAN ANTONIO URB. PONC,Puerto Rico,Ponce,Ponce
39.831448,-83.99549,Suspended particulate (TSP),1986,46.084746,78.0,40.0,25.0,"ROHNER ROAD,",Ohio,Greene,Fairborn
33.45797,-112.04659,Manganese (TSP) STP,1983,0.047163,0.0832,0.0461,0.022,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix
30.700184,-91.100106,Benzene,1994,2.949474,4.68,1.8,1.02,"PrideE Port Hudson Road, Pride",Louisiana,East Baton Rouge,Not in a city
34.007389,-81.052438,Lead (TSP) STP,1994,0.008508,0.017,0.007,0.001,LAUREL @ HUGER [Columbia Water Treatment Plant],South Carolina,Richland,Columbia
36.052024,-94.162704,Suspended particulate (TSP),1984,51.881356,76.0,53.0,23.0,104 W. ROCK ST.,Arkansas,Washington,Fayetteville
39.827594,-104.937668,Average Ambient Pressure,2000,631.629032,636.0,632.0,625.0,4301 E 72ND AVE.,Colorado,Adams,Commerce City
43.039871,-87.920794,Suspended particulate (TSP),1996,43.672131,68.0,39.0,24.0,711 W WELLS ST,Wisconsin,Milwaukee,Milwaukee
40.252511,-75.629624,Suspended particulate (TSP),1981,86.203704,132.0,72.0,43.0,JACKSON ST & SHERIDAN ST,Pennsylvania,Montgomery,Pottstown
33.491891,-81.967108,Suspended particulate (TSP),1981,55.354167,91.0,55.0,28.0,400 E BUENA VISTA AVE [N. Augusta Police Dep't.],South Carolina,Aiken,North Augusta
31.765685,-106.455227,Sample Min Baro Pressure,1999,660.89697,665.0,661.0,656.0,800 S San Marcial Street,Texas,El Paso,El Paso
41.57588,-83.9959,Suspended particulate (TSP),1987,46.916667,78.0,44.0,23.0,200 VAN BUREN,Ohio,Fulton,Delta
39.623971,-79.955619,Suspended particulate (TSP),1984,49.678571,82.0,46.0,23.0,MORGANTOWN HIGH SCHOOL 109 WILSON AVENUE,West Virginia,Monongalia,Morgantown
46.98656,-113.008975,Arsenic (TSP) STP,1987,0.0,0.0,0.0,0.0,"TERRY SMITH RANCH, OVANDO",Montana,Powell,
35.217501,-90.019707,Suspended particulate (TSP),1992,41.431034,61.0,40.0,21.0,1330 FRAYSER BLVD,Tennessee,Shelby,Memphis
34.451931,-120.458773,Suspended particulate (TSP),1988,47.327586,67.0,44.0,26.0,"POINT CONCEPTION LIGHTHOUSE, CONCEPCION",California,Santa Barbara,Concepcion
37.833903,-97.17365,Chloroform,1985,0.0,0.0,0.0,0.0,"NIES SITE 7, FURLEY KANSAS",Kansas,Sedgwick,
39.087949,-94.621453,Nitrate PM10 STP,1993,1.147193,2.83,0.8,0.14,"FIRE STA#3 ,420 KANSAS AVE",Kansas,Wyandotte,Kansas City
36.099304,-80.254772,Suspended particulate (TSP),1984,51.836066,81.0,49.0,32.0,SIXTH & BROAD ST FRIENDS CHURCH,North Carolina,Forsyth,Winston-Salem
33.991509,-81.024141,Ambient Min Temperature,1999,13.150435,23.2,13.9,0.9,"323 South BULL STREET [Bates House, USC]",South Carolina,Richland,Columbia
33.429444,-94.052778,Zinc (TSP) STP,1981,0.04434,0.07,0.04,0.02,12TH SPRUCE ST.,Texas,Bowie,Texarkana
39.36095,-74.439872,Lead (TSP) STP,1987,0.048259,0.08,0.047,0.019,CORNER NORTH MISSOURI AND BALTIC AVENUES,New Jersey,Atlantic,Atlantic City
39.000834,-95.70276,Arsenic (TSP) STP,1982,0.0,0.0,0.0,0.0,"FIRE STATION, 2010 WEST 37TH ST.",Kansas,Shawnee,Topeka
36.813561,-119.741255,Nitrate PM10 STP,1990,17.225,32.1,17.4,1.3,"CAL STATE #2-SHAW & MAPLE, FRESNO",California,Fresno,Fresno
31.758532,-106.501045,"1,1-Dichloroethane",1997,0.0,0.0,0.0,0.0,700 West San Francisco Ave,Texas,El Paso,El Paso
43.209184,-86.120888,Suspended particulate (TSP),1990,42.133333,82.0,38.0,17.0,"5025 EVANSTON, HI-VOL #4",Michigan,Muskegon,Not in a city
42.888971,-72.553701,Ethylbenzene,1997,1.8,1.8,1.8,1.8,"1277 PUTNEY ROAD, RTE 5 BRATTLEBORO",Vermont,Windham,Brattleboro (Town of)
43.025027,-83.685789,Lead (TSP) STP,1989,0.019631,0.032,0.018,0.011,420 EAST BOULEVARD DRIVE,Michigan,Genesee,Flint
40.686766,-75.184342,Lead (TSP) STP,1982,0.209167,0.42,0.15,0.03,"MEYNER ROAD,NORTHWEST CORNER WALTERS PAR",New Jersey,Warren,Phillipsburg
41.80118,-87.832349,Iron (TSP) STP,1988,1.172881,2.1,1.08,0.48,50TH ST. AND GLENCOE,Illinois,Cook,McCook
35.902271,-95.796491,Suspended particulate (TSP),1989,42.311111,72.0,39.0,17.0,1/2 MI S OF (LEONARD) BIXBY WATER DEPT,Oklahoma,Tulsa,Tulsa
44.478938,-73.211516,"1,3-Dichlorobenzene",1998,0.0,0.0,0.0,0.0,ADJ. TO 82 S. WINOOSKI AVENUE,Vermont,Chittenden,Burlington
34.387498,-118.53453,Chloride PM10 STP,1999,0.114107,0.13,0.05,0.0,"SAN FERNANDO RD, SANTA CLARITA (NEWHALL)",California,Los Angeles,Santa Clarita
29.733726,-95.257593,o-Xylene,1994,4.66069,8.64,4.08,1.28,9525 1/2 Clinton Dr,Texas,Harris,Houston
30.263204,-97.712891,Ambient Min Temperature,1999,9.018367,14.3,9.7,2.0,2600B Webberville Rd,Texas,Travis,Austin
36.086062,-119.563457,Sulfate PM10 STP,1997,1.651667,2.8,1.7,0.9,"VAN DORSTEN AVE., CORCORAN",California,Kings,Corcoran
36.055261,-112.122113,Cobalt (TSP) STP,1981,0.0,0.0,0.0,0.0,VISITOR CENTER GRAND CANYON VILLAGE REG,Arizona,Coconino,Grand Canyon
43.072218,-89.382063,Manganese (TSP) STP,1987,0.017604,0.0373,0.0156,0.0069,"POST OFFICE BLDG, 215 MONONA AVE.",Wisconsin,Dane,Madison
43.236729,-77.645558,Suspended particulate (TSP),1980,46.875,78.0,41.0,21.0,"BRITTON ROAD SCHOOL, 800 BRITTON ROAD",New York,Monroe,Greece
33.377165,-79.289464,Suspended particulate (TSP),1992,52.866667,81.0,51.0,26.0,303 HAZARD STREET [Georgetown County Health Department],South Carolina,Georgetown,Georgetown
29.764788,-95.178538,"1,2,4-Trimethylbenzene",1997,2.20625,5.0,1.2,0.5,1504 1/2 Haden Road,Texas,Harris,Houston
33.99958,-117.41601,Chloroform,1995,0.036875,0.05,0.04,0.01,"5888 MISSION BLVD., RUBIDOUX",California,Riverside,Rubidoux
39.927613,-75.222403,Ethylbenzene,1997,2.067568,3.8,1.8,0.7,"AMTRAK, 5917 ELMWOOD AVENUE",Pennsylvania,Philadelphia,Philadelphia
39.075283,-94.705793,Sulfate (TSP) STP,1983,6.954545,11.4,6.0,3.3,TURNER HIGH SCHOOL  1312 SO.55TH ST,Kansas,Wyandotte,Kansas City
39.003557,-114.218328,Zinc (TSP) STP,1982,0.007993,0.0,0.0,0.0,LEHMAN CAVES NATIONAL MONUMENT,Nevada,White Pine,Lehman Caves National Monument
29.984371,-90.410638,Bromomethane,1997,0.0,0.0,0.0,0.0,1 RIVER PARK DRIVE,Louisiana,St. Charles,Hahnville
40.620278,-75.363333,Suspended particulate (TSP),1987,46.092593,71.0,45.0,23.0,EAST MARKET & WOOD STS.,Pennsylvania,Northampton,Bethlehem
33.405323,-112.074036,Cadmium (TSP) STP,1983,0.0,0.0,0.0,0.0,4732 S CENTRAL AVE-SOUTH PHOENIX STATION,Arizona,Maricopa,Phoenix
42.267231,-83.132086,Zinc (TSP) STP,2000,0.141,0.33,0.087,0.037,315 GENESEE (RIVER ROUGE),Michigan,Wayne,River Rouge
40.811669,-96.707794,Copper (TSP) STP,1986,0.056179,0.079,0.062,0.031,"POLICE STATION, 10TH & M STREETS",Nebraska,Lancaster,Lincoln
39.396075,-89.809739,Arsenic (TSP) STP,1999,0.0,0.0,0.0,0.0,HEATON & DUBOIS,Illinois,Macoupin,Nilwood
39.464872,-74.448736,PM10 - LC,1996,26.629285,45.2797,22.692,12.9274,"Edwin B. Forsythe National Wildlife Refuge Visitor Center, 800 Great Creek Road",New Jersey,Atlantic,Galloway (Township of)
39.488703,-79.041973,Suspended particulate (TSP),1986,49.711864,79.0,46.0,28.0,"ROUTE 36; WESTERNPORT, MARYLAND",Maryland,Allegany,Westernport
38.609905,-121.381063,Lead (TSP) STP,1997,0.009896,0.018,0.0088,0.0057,"3535 EL CAMINO & WATT, SACRAMENTO",California,Sacramento,Sacramento
39.571669,-97.657261,Nickel (TSP) STP,1990,0.001081,0.01,0.0,0.0,"135 EAST 6TH ,CONCORDIA CITY HALL",Kansas,Cloud,Concordia
42.139796,-77.049134,Sulfate PM10 STP,1996,3.588889,5.6,3.3,2.0,"CORNING HOSPITAL, ROUTE 17",New York,Steuben,Corning
41.774473,-88.295071,Suspended particulate (TSP),1981,56.54902,84.0,56.0,31.0,MICHELS & SCHEFFER,Illinois,Kane,Aurora
29.733726,-95.257593,Toluene,1993,20.1278,37.87,19.04,7.35,9525 1/2 Clinton Dr,Texas,Harris,Houston
42.530095,-70.875882,Suspended particulate (TSP),1983,31.20462,58.0,26.0,13.0,"NEPCO RIGHT OF WAY, FORT AVENUE",Massachusetts,Essex,Salem
36.075833,-79.794444,Sample Flow Rate- CV,1999,0.39505,0.6,0.5,0.0,EDGEWORTH & BELLEMEADE STS,North Carolina,Guilford,Greensboro
32.382036,-112.857453,Suspended particulate (TSP),1984,93.107143,170.0,87.0,42.0,"AZ HWY DEPT YARD-WELL RD, AJO",Arizona,Pima,Ajo
38.351208,-81.636513,Cobalt (TSP) STP,1989,0.000414,0.0013,0.0004,0.0,FEDERAL BLDG 500 QUARRIER ST,West Virginia,Kanawha,Charleston
35.728889,-81.365556,Lead (TSP) STP,1996,0.042967,0.0432,0.043,0.0427,1650 1ST STREET,North Carolina,Catawba,Hickory
43.940066,-72.603436,Copper (TSP) STP,1984,0.129586,0.279,0.103,0.044,"VTC, RANDOLPH CENTER, VERMONT",Vermont,Orange,Not in a city
43.170062,-77.636391,Dichloromethane,1993,0.478438,1.34,0.18,0.1,"JEFFERSON SR.HIGH, EDGERTON PARK",New York,Monroe,Rochester
41.583183,-93.58385,Suspended particulate (TSP),1986,81.458333,120.0,78.0,52.0,"SE 18TH AND SCOTT, NATIONAL BY-PRODUCTS",Iowa,Polk,Des Moines
37.950741,-121.268523,Manganese (TSP) STP,1993,0.033143,0.065,0.026,0.01,"HAZELTON-HD, STOCKTON",California,San Joaquin,Stockton
35.722867,-77.914994,Suspended particulate (TSP),1990,46.95,71.0,47.0,24.0,N.W. CORNER OF KENAN ST.& TARBORO ST.,North Carolina,Wilson,Wilson
32.706944,-97.093611,m/p Xylene,2000,2.425,4.2,2.5,0.8,1101 E. ARKANSAS LANE,Texas,Tarrant,Arlington
43.17635,-93.208815,Suspended particulate (TSP),1987,125.134615,222.0,107.0,55.0,25TH ST NW SOUTH SIDE,Iowa,Cerro Gordo,Mason City
19.496968,-155.497221,Barium (TSP) STP,1980,0.0,0.0,0.0,0.0,MAUNA LOA VOLCANO OBSERV HILO AT TOP,Hawaii,Hawaii,Hawaii Volcanoes National Park
43.608056,-72.982778,Styrene,1999,0.55,0.8,0.8,0.3,"96 STATE STREET, Rutland, Vermont",Vermont,Rutland,Rutland
39.649367,-79.920867,Average Ambient Temperature,2000,12.076316,22.8,14.2,-0.8,MORGANTOWN - AIRPORT US 119&AIRPORT BLVD.,West Virginia,Monongalia,Morgantown
17.717197,-64.77459,Suspended particulate (TSP),1993,43.57377,63.0,40.0,26.0,"ESTATE ANGUILLA, THE RUINS",Virgin Islands,St Croix,
41.656518,-87.589574,Vinyl chloride,1992,0.0,0.0,0.0,0.0,13100 S. DOTY,Illinois,Cook,Chicago
46.807468,-100.782717,Suspended particulate (TSP),1984,56.934426,105.0,50.0,18.0,MEMORIAL BUILDING 215 N 6TH ST,North Dakota,Burleigh,Bismarck
37.950741,-121.268523,Cobalt (TSP) STP,2000,0.008,0.008,0.008,0.008,"HAZELTON-HD, STOCKTON",California,San Joaquin,Stockton
40.346686,-78.886396,Suspended particulate (TSP),1982,70.7,109.0,64.0,42.0,357 FIRST ST,Pennsylvania,Cambria,East Conemaugh (corporate name for Conemaugh)
40.59664,-74.12525,Suspended particulate (TSP),1989,40.666667,60.0,40.0,18.0,"SUSAN WAGNER HS,   1200 MANOR RD, near Brielle Ave",New York,Richmond,New York
43.047845,-76.12909,Lead (TSP) STP,1986,0.070686,0.0977,0.0727,0.036,202-204 SOUTH BEECH STREET,New York,Onondaga,Syracuse
43.615301,-83.845253,Suspended particulate (TSP),1981,60.604167,132.0,47.0,20.0,2017 BURNS,Michigan,Bay,Essexville
41.106764,-73.419008,Nitrate PM10 STP,2000,0.767273,1.2,0.7,0.6,I-95 AT WEST AVE,Connecticut,Fairfield,Norwalk
37.936013,-122.026154,m/p Xylene,1995,6.24,14.4,5.6,2.4,2956-A TREAT BOULEVARD,California,Contra Costa,Concord
26.024257,-80.299216,Suspended particulate (TSP),1989,31.833333,47.0,30.0,19.0,11251 TAFT STREET PEMBROKE PINES,Florida,Broward,Pembroke Pines
